SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2005,2005,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2006,2006,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2007,2007,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2008,2008,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2009,2009,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2010,2010,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2011,2011,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2012,2012,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2013,2013,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2014,2014,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2015,2015,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2016,2016,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2017,2017,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",BUL,Bulgaria,A,Annual,2018,2018,PC,Percentage,0,Units,,,0,,
IRLT,"Long-term interest rates, Per cent per annum",HUN,Hungary,A,Annual,2005,2005,PC,Percentage,0,Units,,,6.598333,,
IRLT,"Long-term interest rates, Per cent per annum",HUN,Hungary,A,Annual,2006,2006,PC,Percentage,0,Units,,,7.115833,,
IRLT,"Long-term interest rates, Per cent per annum",HUN,Hungary,A,Annual,2007,2007,PC,Percentage,0,Units,,,6.744167,,
IRLT,"Long-term interest rates, Per cent per annum",HUN,Hungary,A,Annual,2008,2008,PC,Percentage,0,Units,,,8.238334,,
IRLT,"Long-term interest rates, Per cent per annum",HUN,Hungary,A,Annual,2009,2009,PC,Percentage,0,Units,,,9.123333,,
