,Year,Country,Value Housing,Value IntRate,Value GDP,Value Employ,Value Loans,Value Popul
0,2005,Bulgaria,80.09,0,40,2947,5.9,7688573
1,2006,Bulgaria,91.86,0,40,3072,4.2,7629371
2,2007,Bulgaria,118.42,0,40,3209,9.5,7572673
3,2008,Bulgaria,147.97,0,43,3306,7.6,7518002
4,2009,Bulgaria,117.79,0,43,3205,0,7467119
5,2010,Bulgaria,105.81,0,44,3037,0.1,7421766
6,2011,Bulgaria,99.98,0,45,2928,0.1,7369431
7,2012,Bulgaria,98.07,0,46,2895,-0.3,7327224
8,2013,Bulgaria,95.92,0,45,2889,0.2,7284552
9,2014,Bulgaria,97.29,0,47,2927,0.2,7245677
10,2015,Bulgaria,100,0,47,2974,0.2,7202198
11,2016,Bulgaria,107.02,0,49,2954,0.8,7153784
12,2017,Bulgaria,116.3,0,50,3073,1.4,7101859
13,2018,Bulgaria,123.96,0,51,3069,2.3,7050034
14,2005,Hungary,98.91,6.598333,60,3879,4.6,10097549
15,2006,Hungary,98.91,7.115833,60,3904,4.9,10076581
16,2007,Hungary,98.91,6.744167,60,3872,5.7,10066158
17,2008,Hungary,101.26,8.238334,63,3818,4.9,10045401
18,2009,Hungary,95.95,9.123333,64,3717,-0.3,10030975
19,2010,Hungary,93.66,7.281667,65,3701,-1.1,10014324
20,2011,Hungary,90.45,7.635409,66,3724,-3.5,9985722
21,2012,Hungary,87.1,7.890833,66,3793,-3.3,9931925
22,2013,Hungary,84.87,5.923333,67,3860,-1.5,9908798
23,2014,Hungary,88.43,4.809166,68,4070,-1,9877365
24,2015,Hungary,100,3.4325,69,4176,-3.4,9855571
25,2016,Hungary,113.38,3.143333,68,4309,0.2,9830485
26,2017,Hungary,127.24,2.9625,68,4373,0.4,9797561
27,2018,Hungary,145.5,3.058333,71,4411,0.9,9778371
28,2005,Latvia,104.48,3.875,57,942,13.5,2249724
29,2006,Latvia,104.48,4.133333,57,992,17.6,2227874
30,2007,Latvia,142.37,5.2825,57,1016,13.2,2208840
31,2008,Latvia,143.94,6.431667,59,1009,2.5,2191810
32,2009,Latvia,90.24,12.3575,52,877,-4.3,2162834
33,2010,Latvia,80.35,10.3375,53,829,-3.2,2120504
34,2011,Latvia,88.73,5.9075,57,841,-3,2074605
35,2012,Latvia,91.36,4.565,60,852,-3.2,2044813
36,2013,Latvia,97.62,3.34,62,867,-1.3,2023825
37,2014,Latvia,103.48,2.508333,63,859,-1.4,2001468
38,2015,Latvia,100,0.9633333,64,868,-0.7,1986096
39,2016,Latvia,108.49,0.5341667,64,862,0.1,1968957
40,2017,Latvia,118.01,0.8341666,66,862,0.5,1950116
41,2018,Latvia,129.3,0.9025,69,873,0.3,1934379
42,2005,Lithuania,94.25,3.699167,60,1414,5.9,3355220
43,2006,Lithuania,94.25,4.080833,60,1405,8.4,3289835
44,2007,Lithuania,119.06,4.545833,60,1422,9.6,3249983
45,2008,Lithuania,129.76,5.6075,63,1397,4.8,3212605
46,2009,Lithuania,90.92,14.00417,56,1290,-1.8,3183856
47,2010,Lithuania,84.2,5.566667,60,1224,-1.8,3141976
48,2011,Lithuania,89.77,5.16,66,1226,-0.9,3052588
49,2012,Lithuania,89.56,4.830833,70,1244,-0.5,3003641
50,2013,Lithuania,90.65,3.831667,73,1264,0,2971905
51,2014,Lithuania,96.47,2.7925,75,1288,0.4,2943472
52,2015,Lithuania,100,1.380833,74,1301,1.4,2921262
53,2016,Lithuania,105.4,0.8983333,75,1318,1.6,2888558
54,2017,Lithuania,114.8,0.31,78,1306,1.6,2847904
55,2018,Lithuania,123.18,0.31,80,1324,1.7,2808901
56,2005,Poland,56.01,5.218333,53,13834,2.7,38173835
57,2006,Poland,76.52,5.231667,53,14338,4.7,38157055
58,2007,Poland,113.82,5.484334,53,14996,6.7,38125479
59,2008,Poland,112.92,6.071667,55,15557,6.7,38115641
60,2009,Poland,109.77,6.120598,59,15629,3.7,38135876
61,2010,Poland,105.61,5.781667,62,15233,2.7,38022869
62,2011,Poland,105.7,5.955583,65,15313,2.4,38062718
63,2012,Poland,102.01,4.999283,67,15340,1.4,38063792
64,2013,Poland,97.54,4.033292,67,15313,1.7,38062535
65,2014,Poland,98.5,3.516211,67,15591,1.5,38017856
66,2015,Poland,100,2.700557,68,15812,1.4,38005614
67,2016,Poland,101.86,3.035689,68,15902,1.5,37967209
68,2017,Poland,105.78,3.42,69,16079,1.7,37972964
69,2018,Poland,112.74,3.198333,70,16133,2.1,37976687
