"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2005","Bulgaria","Total","Total","Number","7,688,573",""
"2005","Latvia","Total","Total","Number","2,249,724",""
"2005","Lithuania","Total","Total","Number","3,355,220",""
"2005","Hungary","Total","Total","Number","10,097,549",""
"2005","Poland","Total","Total","Number","38,173,835",""
"2006","Bulgaria","Total","Total","Number","7,629,371",""
"2006","Latvia","Total","Total","Number","2,227,874",""
"2006","Lithuania","Total","Total","Number","3,289,835",""
"2006","Hungary","Total","Total","Number","10,076,581",""
"2006","Poland","Total","Total","Number","38,157,055",""
"2007","Bulgaria","Total","Total","Number","7,572,673",""
"2007","Latvia","Total","Total","Number","2,208,840",""
"2007","Lithuania","Total","Total","Number","3,249,983",""
"2007","Hungary","Total","Total","Number","10,066,158",""
"2007","Poland","Total","Total","Number","38,125,479",""
"2008","Bulgaria","Total","Total","Number","7,518,002",""
"2008","Latvia","Total","Total","Number","2,191,810",""
"2008","Lithuania","Total","Total","Number","3,212,605",""
"2008","Hungary","Total","Total","Number","10,045,401",""
"2008","Poland","Total","Total","Number","38,115,641",""
"2009","Bulgaria","Total","Total","Number","7,467,119",""
"2009","Latvia","Total","Total","Number","2,162,834",""
"2009","Lithuania","Total","Total","Number","3,183,856",""
"2009","Hungary","Total","Total","Number","10,030,975",""
"2009","Poland","Total","Total","Number","38,135,876",""
"2010","Bulgaria","Total","Total","Number","7,421,766",""
"2010","Latvia","Total","Total","Number","2,120,504",""
"2010","Lithuania","Total","Total","Number","3,141,976",""
"2010","Hungary","Total","Total","Number","10,014,324",""
"2010","Poland","Total","Total","Number","38,022,869","b"
"2011","Bulgaria","Total","Total","Number","7,369,431",""
"2011","Latvia","Total","Total","Number","2,074,605",""
"2011","Lithuania","Total","Total","Number","3,052,588",""
"2011","Hungary","Total","Total","Number","9,985,722",""
"2011","Poland","Total","Total","Number","38,062,718",""
"2012","Bulgaria","Total","Total","Number","7,327,224",""
"2012","Latvia","Total","Total","Number","2,044,813",""
"2012","Lithuania","Total","Total","Number","3,003,641",""
"2012","Hungary","Total","Total","Number","9,931,925","b"
"2012","Poland","Total","Total","Number","38,063,792",""
"2013","Bulgaria","Total","Total","Number","7,284,552",""
"2013","Latvia","Total","Total","Number","2,023,825",""
"2013","Lithuania","Total","Total","Number","2,971,905",""
"2013","Hungary","Total","Total","Number","9,908,798",""
"2013","Poland","Total","Total","Number","38,062,535",""
"2014","Bulgaria","Total","Total","Number","7,245,677",""
"2014","Latvia","Total","Total","Number","2,001,468",""
"2014","Lithuania","Total","Total","Number","2,943,472",""
"2014","Hungary","Total","Total","Number","9,877,365",""
"2014","Poland","Total","Total","Number","38,017,856",""
"2015","Bulgaria","Total","Total","Number","7,202,198",""
"2015","Latvia","Total","Total","Number","1,986,096",""
"2015","Lithuania","Total","Total","Number","2,921,262",""
"2015","Hungary","Total","Total","Number","9,855,571",""
"2015","Poland","Total","Total","Number","38,005,614",""
"2016","Bulgaria","Total","Total","Number","7,153,784",""
"2016","Latvia","Total","Total","Number","1,968,957",""
"2016","Lithuania","Total","Total","Number","2,888,558",""
"2016","Hungary","Total","Total","Number","9,830,485",""
"2016","Poland","Total","Total","Number","37,967,209",""
"2017","Bulgaria","Total","Total","Number","7,101,859",""
"2017","Latvia","Total","Total","Number","1,950,116",""
"2017","Lithuania","Total","Total","Number","2,847,904",""
"2017","Hungary","Total","Total","Number","9,797,561",""
"2017","Poland","Total","Total","Number","37,972,964",""
"2018","Bulgaria","Total","Total","Number","7,050,034",""
"2018","Latvia","Total","Total","Number","1,934,379",""
"2018","Lithuania","Total","Total","Number","2,808,901",""
"2018","Hungary","Total","Total","Number","9,778,371",""
"2018","Poland","Total","Total","Number","37,976,687",""
